Index,Overall Qual,Overall Cond,Total Bsmt SF,Central Air,Gr Liv Area,SalePrice
1,7,5,1092.0,Y,1550,241000
2,8,5,1624.0,Y,1624,262000
3,5,6,1484.0,Y,1484,175000
4,5,5,540.0,N,1044,55993
5,6,5,1088.0,Y,1324,160000
6,6,6,1124.0,Y,1124,153000
7,6,5,1416.0,Y,1644,167000
8,9,5,1310.0,Y,1310,285000
9,5,6,1728.0,Y,1728,84900
10,8,5,1191.0,Y,1191,162500
11,7,5,1358.0,Y,1358,207000
12,6,7,932.0,Y,2640,256900
13,6,6,1427.0,Y,1427,183000
14,7,5,1670.0,Y,1670,240000
15,5,6,913.0,Y,1558,140000
16,5,7,720.0,N,846,106000
17,7,5,1652.0,Y,1662,291000
18,6,7,946.0,Y,1802,218000
19,5,6,1042.0,Y,1576,149000
20,5,5,928.0,Y,1920,137000
21,6,5,547.0,Y,1072,148000
22,8,7,1338.0,Y,2520,310000
23,7,5,738.0,Y,1492,169985
24,7,5,1500.0,Y,1500,190000
25,6,7,884.0,Y,904,119000
26,6,5,1372.0,Y,1342,161500
27,5,5,894.0,Y,1074,124000
28,5,6,1063.0,Y,1327,150750
29,5,7,912.0,Y,925,135000
30,7,5,836.0,Y,1737,175000
31,10,5,1017.0,Y,2007,310000
32,5,6,1444.0,Y,1624,146500
33,7,5,1840.0,Y,2032,300000
34,5,5,1052.0,Y,1920,172500
35,5,5,858.0,Y,858,134900
36,5,6,972.0,Y,972,122500
37,5,7,780.0,Y,780,124900
38,5,6,1097.0,Y,1110,165500
39,5,6,1058.0,Y,1370,148000
40,9,5,1739.0,Y,1743,335000
41,7,5,1346.0,Y,1504,191000
42,6,5,855.0,Y,1456,137900
43,7,5,740.0,Y,1775,213000
44,7,6,1529.0,Y,1664,213000
45,8,5,1226.0,Y,1226,211500
46,7,5,1433.0,Y,1433,270000
47,3,7,649.0,Y,1183,120000
48,5,6,1032.0,Y,2177,215000
49,7,5,1190.0,Y,2090,207500
50,6,5,932.0,Y,1633,183000
51,8,5,1504.0,Y,1504,199000
52,7,5,1195.0,Y,1839,221000
53,5,7,1113.0,Y,1113,147000
54,6,7,848.0,N,1827,202500
55,4,7,894.0,Y,894,141500
56,5,5,468.0,Y,1142,93000
57,7,5,989.0,Y,2009,150000
58,6,6,832.0,Y,832,105500
59,8,5,1470.0,Y,2630,315000
60,5,6,967.0,Y,967,99900
61,4,4,546.0,Y,1092,88000
62,5,5,1728.0,Y,1728,142600
63,8,5,1546.0,Y,1564,267300
64,8,5,1260.0,Y,1288,245500
65,6,7,780.0,Y,1416,139900
66,4,7,356.0,N,1049,80900
67,6,6,1008.0,Y,1488,167000
68,7,5,1188.0,Y,1217,173000
69,5,7,301.0,Y,1145,127000
70,6,5,1064.0,Y,1350,165000
71,6,5,923.0,Y,1714,180000
72,6,6,516.0,Y,1032,116500
73,6,7,840.0,Y,1680,177000
74,6,5,848.0,Y,848,144500
75,7,7,699.0,Y,1527,152500
76,8,5,1626.0,Y,1634,250000
77,5,5,912.0,Y,912,125000
78,5,6,971.0,Y,971,128500
79,7,5,780.0,Y,1930,192000
80,7,5,691.0,Y,1553,178750
81,6,7,1302.0,Y,1302,158000
82,5,6,520.0,Y,1464,175000
83,7,5,1339.0,Y,1358,204000
84,8,5,850.0,Y,1764,207000
85,8,5,728.0,Y,788,155000
86,6,5,1408.0,Y,1679,193500
87,6,5,1844.0,Y,1844,223000
88,3,5,370.0,N,670,64000
89,5,5,1114.0,Y,1114,140000
90,6,6,884.0,Y,1436,155000
91,5,5,1058.0,Y,1551,137000
92,5,5,789.0,Y,789,115000
93,4,7,747.0,Y,1230,121600
94,5,6,1484.0,Y,1600,207500
95,6,5,612.0,Y,1224,173733
96,6,6,855.0,Y,1456,148500
97,5,5,780.0,Y,1620,152000
98,6,5,841.0,Y,1675,181000
99,5,7,796.0,Y,796,85000
100,6,6,1204.0,Y,1666,135000
101,8,5,1128.0,Y,2020,239500
102,7,5,1494.0,Y,1494,279500
103,6,5,1140.0,Y,1707,184000
104,5,6,945.0,Y,945,119500
105,8,5,1596.0,Y,1648,230000
106,9,5,1980.0,Y,1980,315000
107,5,5,1092.0,Y,1092,141000
108,6,5,813.0,Y,1525,183500
109,4,5,888.0,Y,1962,149500
110,6,6,1232.0,Y,1232,162500
111,5,7,1040.0,Y,1040,152000
112,6,5,1324.0,Y,1324,199500
113,6,6,992.0,Y,1661,165500
114,5,6,731.0,Y,1343,154900
115,3,4,672.0,Y,1214,105000
116,5,5,990.0,Y,990,145000
117,8,5,1107.0,Y,2052,251000
118,6,4,868.0,Y,2559,209000
119,5,6,1150.0,Y,1150,141000
120,8,5,1065.0,Y,1989,255000
121,7,5,625.0,Y,1250,164700
122,7,5,1204.0,Y,2183,229000
123,5,5,1148.0,Y,1148,132500
124,7,5,880.0,Y,1716,191000
125,6,7,1602.0,Y,1252,235000
126,6,6,583.0,Y,1242,105000
127,5,5,728.0,Y,1355,140000
128,7,5,1142.0,Y,1142,156820
129,6,5,1224.0,Y,1224,165000
130,5,5,1117.0,Y,1117,136870
131,8,5,1234.0,Y,1234,179900
132,5,7,938.0,Y,1043,137000
133,8,5,1406.0,Y,1936,230500
134,5,6,1559.0,Y,1559,153500
135,6,5,761.0,Y,1603,175900
136,5,6,1112.0,Y,1112,144800
